warning: No library characterized for (process = 1.00 voltage = 0.85 temperature = -40.00) can be found in the database for power domain '/PD_TOP'  [NL-174]
Report Power (instances with prefix '*' are included in total) : 
-----+----------+--------------------+---------------------+-------------------+-----------------
     | Instance | Internal Power(uw) | Switching Power(uw) | Leakage Power(uw) | Total Power(uw) 
246  |*i_0_0_211|            0.388997|             1.424208|           0.005012|         1.818217
247  |*i_0_0_212|            0.367615|             0.736263|           0.003931|         1.107808
248  |*i_0_0_213|            0.254685|             0.742491|           0.002775|         0.999951
249  |*i_0_0_214|            0.368960|             4.859309|           0.005012|         5.233282
250  |*i_0_0_215|            0.388997|             1.424208|           0.005012|         1.818217
251  |*i_0_0_216|            0.367615|             0.736263|           0.003931|         1.107808
252  |*i_0_0_217|            0.254685|             0.742491|           0.002775|         0.999951
253  |*i_0_0_218|            0.368960|             4.859309|           0.005012|         5.233282
254  |*i_0_0_219|            0.388997|             1.424208|           0.005012|         1.818217
255  |*i_0_0_220|            0.367615|             0.736263|           0.003931|         1.107808
256  |*i_0_0_221|            0.254685|             0.742491|           0.002775|         0.999951
257  |*i_0_0_222|            0.368960|             4.859309|           0.005012|         5.233282
258  |*i_0_0_223|            0.388997|             1.424208|           0.005012|         1.818217
259  |*i_0_0_224|            0.367615|             0.736263|           0.003931|         1.107808
260  |*i_0_0_225|            0.254685|             0.742491|           0.002775|         0.999951
261  |*i_0_0_226|            0.368960|             4.859309|           0.005012|         5.233282
262  |*i_0_0_227|            0.388997|             1.424208|           0.005012|         1.818217
263  |*i_0_0_228|            0.367615|             0.736263|           0.003931|         1.107808
264  |*i_0_0_229|            0.254685|             0.742491|           0.002775|         0.999951
265  |*i_0_0_230|            0.385255|             4.859309|           0.005012|         5.249576
266  |*i_0_0_231|            0.782568|             0.880363|           0.008128|         1.671058
267  |*i_0_0_232|            0.295397|            14.702258|           0.002775|        15.000430
268  |*i_0_0_233|            0.634984|             5.429889|           0.006839|         6.071712
269  |*i_0_0_234|            1.206693|            27.442530|           0.007821|        28.657043
270  |*i_0_0_235|            1.053955|            26.928835|           0.007821|        27.990612
271  |*i_0_0_236|            0.627746|             0.878403|           0.006839|         1.512988
272  |*i_0_0_237|            1.033667|            14.921001|           0.008181|        15.962849
273  |*i_0_0_238|            0.629247|             0.956390|           0.006839|         1.592476
274  |*i_0_0_239|            1.000930|            23.978254|           0.008181|        24.987366
275  |*i_0_0_240|            0.629247|             0.956390|           0.006839|         1.592476
276  |*i_0_0_241|            0.998108|            24.752516|           0.008181|        25.758806
277  |*i_0_0_242|            0.629247|             0.956390|           0.006839|         1.592476
278  |*i_0_0_243|            1.033170|            14.611386|           0.008181|        15.652737
279  |*i_0_0_244|            0.629247|             0.956390|           0.006839|         1.592476
280  |*i_0_0_245|            0.999957|            24.185301|           0.008181|        25.193438
281  |*i_0_0_246|            0.629247|             0.956390|           0.006839|         1.592476
282  |*i_0_0_247|            0.994301|            25.812059|           0.008181|        26.814545
283  |*i_0_0_248|            0.629247|             0.956390|           0.006839|         1.592476
284  |*i_0_0_249|            1.023175|            17.465696|           0.008181|        18.497053
285  |*i_0_0_250|            0.629247|             0.956390|           0.006839|         1.592476
286  |*i_0_0_251|            1.005369|            22.608253|           0.008181|        23.621803
287  |*i_0_0_252|            0.629247|             0.956390|           0.006839|         1.592476
288  |*i_0_0_253|            1.005218|            22.650599|           0.008181|        23.663998
289  |*i_0_0_254|            0.629247|             0.956390|           0.006839|         1.592476
290  |*i_0_0_255|            1.016351|            19.432280|           0.008181|        20.456814
291  |*i_0_0_256|            0.629247|             0.956390|           0.006839|         1.592476
292  |*i_0_0_257|            1.018558|            18.793962|           0.008181|        19.820702
293  |*i_0_0_258|            0.629247|             0.956390|           0.006839|         1.592476
294  |*i_0_0_259|            1.026075|            16.621424|           0.008181|        17.655680
295  |*i_0_0_260|            0.627971|             0.956390|           0.006839|         1.591200
296  |*i_0_0_261|            1.050574|            20.663855|           0.007821|        21.722250
297  |*i_0_0_262|            0.333254|             1.375577|           0.002775|         1.711607
298  |*i_0_0_263|            0.655050|             5.927351|           0.006839|         6.589241
299  |*i_0_0_264|            0.502558|             0.954908|           0.005012|         1.462479
300  |*i_0_0_265|            0.638747|             1.826115|           0.006839|         2.471702
301  |*i_0_0_266|            0.502557|             0.954907|           0.005012|         1.462476
302  |*i_0_0_267|            0.638749|             1.826120|           0.006839|         2.471707
303  |*i_0_0_268|            0.502556|             0.954904|           0.005012|         1.462472
304  |*i_0_0_269|            0.638751|             1.826127|           0.006839|         2.471717
305  |*i_0_0_270|            0.502553|             0.954899|           0.005012|         1.462464
306  |*i_0_0_271|            0.638755|             1.826140|           0.006839|         2.471734
307  |*i_0_0_272|            0.502549|             0.954889|           0.005012|         1.462451
308  |*i_0_0_273|            0.638762|             1.826164|           0.006839|         2.471765
309  |*i_0_0_274|            0.502541|             0.954873|           0.005012|         1.462427
310  |*i_0_0_275|            0.638775|             1.826205|           0.006839|         2.471819
311  |*i_0_0_276|            0.502527|             0.954844|           0.005012|         1.462384
312  |*i_0_0_277|            0.638797|             1.826279|           0.006839|         2.471916
313  |*i_0_0_278|            0.502503|             0.954792|           0.005012|         1.462307
314  |*i_0_0_279|            0.638837|             1.826411|           0.006839|         2.472087
315  |*i_0_0_280|            0.502459|             0.954700|           0.005012|         1.462171
316  |*i_0_0_281|            0.638908|             1.826644|           0.006839|         2.472391
317  |*i_0_0_282|            0.502381|             0.954535|           0.005012|         1.461929
318  |*i_0_0_283|            0.639033|             1.827056|           0.006839|         2.472929
319  |*i_0_0_284|            0.502241|             0.954241|           0.005012|         1.461495
320  |*i_0_0_285|            0.639253|             1.827784|           0.006839|         2.473876
321  |*i_0_0_286|            0.501530|             0.953713|           0.005012|         1.460255
322  |*i_0_0_287|            0.854405|             1.848544|           0.008128|         2.711077
323  |*i_0_0_288|            0.789749|             1.927804|           0.008593|         2.726145
324  |*i_0_0_289|            0.385415|             2.187148|           0.005012|         2.577575
325  |*i_0_0_290|            0.785768|             1.817327|           0.008593|         2.611688
326  |*i_0_0_291|            0.254685|             0.742491|           0.002775|         0.999951
327  |*i_0_0_292|            0.368707|             4.859309|           0.005012|         5.233028
328  |*i_0_0_293|            0.388748|             1.391969|           0.005012|         1.785730
329  |*i_0_0_294|            0.388748|             1.391969|           0.005012|         1.785730
330  |*i_0_0_295|            0.388748|             1.391969|           0.005012|         1.785730
